"host_hostname","author","browser_type","current_locale","default_locale","description","directory","from_webstore","gid","gid_signed","identifier","install_time","install_timestamp","manifest_hash","name","optional_permissions","path","permissions","persistent","profile","profile_path","referenced","referenced_identifier","shell","state","type","uid","uid_signed","update_url","username","uuid","version"
"dc.windomain.local","","chrome","","en","Chrome Web Store Payments","C:\\Users\\vagrant","true","544","544","nmmhkkegccagdldgiimedpiccmgmieda","13313066238128356","1668592638","f52714812d68c577a445169d11e84df6751c2d6886bc429643072bb5d61c6c27","Chrome Web Store Payments","","C:\\Users\\vagrant\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Extensions\\nmmhkkegccagdldgiimedpiccmgmieda\\1.0.0.6_0","identity, webview, https://www.google.com/, https://www.googleapis.com/*, https://payments.google.com/payments/v4/js/integrator.js, https://sandbox.google.com/payments/v4/js/integrator.js","0","Person 1","C:\\Users\\vagrant\\AppData\\Local\\Google\\Chrome\\User Data\\Default","1","nmmhkkegccagdldgiimedpiccmgmieda","C:\\Windows\\system32\\cmd.exe","1","local","1000","1000","https://clients2.google.com/service/update2/crx","vagrant","S-1-5-21-2715129506-1718414214-3630666396-1000","1.0.0.6"
"dc.windomain.local","","chrome","","en_US","Edit, create, and view your documents, spreadsheets, and presentations — all without internet access.","C:\\Users\\vagrant","true","544","544","ghbmnnjooekpmoecnnnilnnbdlolhkhi","13313066240231266","1668592640","8fa69f8cd497d4bdd0e390aa2054239eabdf1be7cd4ab9b200cc8b3f1e48e6aa","Google Docs Offline","","C:\\Users\\vagrant\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Extensions\\ghbmnnjooekpmoecnnnilnnbdlolhkhi\\1.50.1_0","alarms, storage, unlimitedStorage, https://docs.google.com/*, https://drive.google.com/*","0","Person 1","C:\\Users\\vagrant\\AppData\\Local\\Google\\Chrome\\User Data\\Default","1","ghbmnnjooekpmoecnnnilnnbdlolhkhi","C:\\Windows\\system32\\cmd.exe","1","local","1000","1000","https://clients2.google.com/service/update2/crx","vagrant","S-1-5-21-2715129506-1718414214-3630666396-1000","1.50.1"
